fault,variant,run,accuracy,curr_state_final,itr_final,reprompts,invalid_actuator_events,planning_calls,action_calls,planning_latency_total_s,action_latency_total_s,wall_time_total_s,sim_time_total,steps_total,success_flag,success_itr,success_sim_time,visited_target,visited_states_n,reprompt_events_n
pump_failure,full_system,2,1,state_emptying_tank_B204,7,0,0,6,6,8.138747999968473,20.18733670009533,0.0,9.3,7,1,7,9.3,1,7,0
pump_failure,full_system,3,1,state_emptying_tank_B204,7,0,0,6,6,7.3844534999807365,13.711586399935186,0.0,9.700000000000003,7,1,7,9.700000000000003,1,7,0
pump_failure,full_system,4,1,state_emptying_tank_B204,7,0,0,6,6,6.588134500023443,14.499155900033657,0.0,10.100000000000001,7,1,7,10.100000000000001,1,7,0
pump_failure,full_system,5,1,state_emptying_tank_B204,7,0,0,6,6,7.78337269986514,23.22169620008208,0.0,9.500000000000002,7,1,7,9.500000000000002,1,7,0
pump_failure,full_system,6,1,state_emptying_tank_B204,7,0,0,6,6,9.557874199992511,18.42725090001477,0.0,9.500000000000002,7,1,7,9.500000000000002,1,7,0
pump_failure,full_system,7,1,state_emptying_tank_B204,7,0,0,6,6,8.230641299975105,21.648055300000124,0.0,9.4,7,1,7,9.4,1,7,0
pump_failure,full_system,8,1,state_emptying_tank_B204,7,0,0,6,6,7.421618699969258,16.9575376000721,0.0,9.4,7,1,7,9.4,1,7,0
pump_failure,full_system,9,1,state_emptying_tank_B204,7,0,0,6,6,10.706911699962802,20.967137199942954,0.0,9.5,7,1,7,9.5,1,7,0
sensor_fault,full_system,0,1,state_emptying_tank_B204,7,0,0,6,6,6.425262100063264,18.152789899904747,0.0,9.4,7,1,7,9.4,1,7,0
sensor_fault,full_system,1,1,state_emptying_tank_B204,7,0,0,6,6,7.833897699951194,19.71354689996224,0.0,9.400000000000002,7,1,7,9.400000000000002,1,7,0
sensor_fault,full_system,2,1,state_emptying_tank_B204,7,0,0,6,6,7.2528392999083735,18.656766399974003,0.0,9.4,7,1,7,9.4,1,7,0
sensor_fault,full_system,3,1,state_emptying_tank_B204,7,0,0,6,6,9.394638900004793,14.893382299866062,0.0,9.5,7,1,7,9.5,1,7,0
sensor_fault,full_system,4,1,state_emptying_tank_B204,7,0,0,6,6,7.778420399990864,17.681951900071,0.0,9.3,7,1,7,9.3,1,7,0
sensor_fault,full_system,5,1,state_emptying_tank_B204,7,0,0,6,6,6.335863800079096,22.521617100108415,0.0,9.3,7,1,7,9.3,1,7,0
sensor_fault,full_system,6,1,state_emptying_tank_B204,7,0,0,6,6,5.671471200010274,19.915970899979584,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
sensor_fault,full_system,7,1,state_emptying_tank_B204,7,0,0,6,6,7.214390600041952,19.542119899997488,0.0,9.4,7,1,7,9.4,1,7,0
sensor_fault,full_system,8,1,state_emptying_tank_B204,7,0,0,6,6,68.75196779996622,16.043154500075616,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
sensor_fault,full_system,9,1,state_emptying_tank_B204,7,0,0,6,6,7.216392500034999,17.24204370001098,0.0,9.5,7,1,7,9.5,1,7,0
leak,full_system,0,1,state_emptying_tank_B204,7,0,0,6,6,8.955665300018154,18.575832000002265,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
leak,full_system,1,1,state_emptying_tank_B204,7,0,0,6,6,7.948491099930834,17.093303200032096,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
leak,full_system,2,1,state_emptying_tank_B204,7,0,0,6,6,7.919522700016387,19.35446449992014,0.0,9.900000000000002,7,1,7,9.900000000000002,1,7,0
leak,full_system,3,1,state_emptying_tank_B204,7,0,0,6,6,8.575337799964473,24.397574200003874,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
leak,full_system,4,1,state_emptying_tank_B204,7,0,0,6,6,8.090572100016288,18.724857199995313,0.0,10.000000000000002,7,1,7,10.000000000000002,1,7,0
leak,full_system,5,1,state_emptying_tank_B204,7,0,0,6,6,7.244997900037561,20.190514700021595,0.0,9.800000000000002,7,1,7,9.800000000000002,1,7,0
leak,full_system,6,1,state_emptying_tank_B204,7,0,0,6,6,7.407503499998711,13.733328300120775,0.0,9.400000000000002,7,1,7,9.400000000000002,1,7,0
leak,full_system,7,1,state_emptying_tank_B204,7,0,0,6,6,7.792819399968721,13.902264699921943,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
leak,full_system,8,1,state_emptying_tank_B204,7,0,0,6,6,6.908732199924998,18.45112230005907,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
leak,full_system,9,1,state_emptying_tank_B204,7,0,0,6,6,9.531435899960343,31.080390900024213,0.0,9.4,7,1,7,9.4,1,7,0
pump_degradation,full_system,0,1,state_emptying_tank_B204,7,0,0,6,6,9.157630799978506,30.75708820001455,0.0,9.4,7,1,7,9.4,1,7,0
pump_degradation,full_system,1,1,state_emptying_tank_B204,7,0,0,6,6,9.896035999991,16.412641800066922,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
pump_degradation,full_system,2,1,state_emptying_tank_B204,7,0,0,6,6,6.6990031999885105,17.70813129999442,0.0,9.4,7,1,7,9.4,1,7,0
pump_degradation,full_system,3,1,state_emptying_tank_B204,7,0,0,6,6,8.03979920007987,19.069903799972963,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
pump_degradation,full_system,4,1,state_emptying_tank_B204,7,0,0,6,6,8.480698200059123,15.623125799931586,0.0,9.500000000000002,7,1,7,9.500000000000002,1,7,0
pump_degradation,full_system,5,1,state_emptying_tank_B204,7,0,0,6,6,7.852575100085232,21.061550299928058,0.0,9.5,7,1,7,9.5,1,7,0
pump_degradation,full_system,6,1,state_emptying_tank_B204,7,0,0,6,6,10.174069900007453,16.180231200007256,0.0,9.400000000000002,7,1,7,9.400000000000002,1,7,0
pump_degradation,full_system,7,1,state_emptying_tank_B204,7,0,0,6,6,6.310211099917069,15.09923960006563,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
pump_degradation,full_system,8,1,state_emptying_tank_B204,7,0,0,6,6,8.675390000047628,15.190171500027645,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
pump_degradation,full_system,9,1,state_emptying_tank_B204,7,0,0,6,6,9.604549300041981,13.596798400045373,0.0,9.4,7,1,7,9.4,1,7,0
